twitter,domain,name,type
fcbarcelona_ara,fcbarab.com,FC Barcelona,sports
AlabamaFTBL,rolltide.com,Alabama Football,sports
FIBA,FIBA.com,FIBA,sports
NorwichCityFC,canaries.co.uk,Norwich City FC,sports
RedScarce,youtube.com,Scarce,sports
OfficialSLC,srilankacricket.lk,Sri Lanka Cricket,sports
SoaRGaming,youtube.com,SoaR Gaming,sports
SEC,secsports.com,SEC Sports,sports
Athletics,athletics.com,Oakland Athletics,sports
TeamEnVyUs,teamenvyus.com,EnVy,sports
Brasil2016,brasil2016.gov.br,Brasil 2016,sports
youtholympics,olympic.org,Youth Olympic Games,sports
gencfborg,,GENCFBorg,sports
AlAhly,alahlyegypt.com,Al Ahly SC,sports
football_league,football-league.co.uk,The Football League,sports
RMBaloncesto,realmadrid.com,RM Baloncesto,sports
FBBasketbol,fenerbahce.org,Fenerbahçe Basketbol,sports
Socceroos,footballaustralia.com.au,Socceroos,sports
StewartHaasRcng,stewarthaasracing.com,Stewart-Haas Racing,sports
DallasStars,DallasStars.com,Dallas Stars,sports
RaysBaseball,raysbaseball.com,Tampa Bay Rays,sports
Avalanche,coloradoavalanche.com,Colorado Avalanche,sports
TheOpen,TheOpen.com,The Open,sports
Ro7_G_Alhilal,alhilal.com,روح جمهور الهلال,sports
wsl,worldsurfleague.com,World Surf League,sports
NHLDevils,newjerseydevils.com,New Jersey Devils,sports
OfficialSSLazio,sslazio.it,SS Lazio,sports
TheRealPCB,pcb.com.pk,PCB Official,sports
FulhamFC,fulhamfc.com,Fulham Football Club,sports
AnaheimDucks,AnaheimDucks.com,Anaheim Ducks,sports
CaterhamF1,caterhamf1.com,Caterham F1 Team,sports
CrossFitGames,Games.CrossFit.com,The CrossFit Games,sports
CPFC,cpfc.co.uk,Crystal Palace FC,sports
ANFPChile,anfp.cl,ANFP Chile,sports
nbadleague,nba.com,NBA D-League,sports
FCBfutbolsala,fcbarcelona.cat,FCB Futbol Sala,sports
Fenerbahce_EN,fenerbahce.org,Fenerbahce_EN,sports
LAGalaxy,lagalaxy.com,LA Galaxy,sports
UGAAthletics,georgiadogs.com,Georgia Bulldogs,sports
FCNantes,fcnantes.com,FC Nantes,sports
ONEFCMMA,onefc.com,ONE Championship,sports
GammaGamers,GammaGamers.com,Gamma Gamers™,sports
DragonsOfficial,dragons.jp,中日ドラゴンズ公式,sports
Feyenoord,feyenoord.nl,Feyenoord Rotterdam,sports
